iter,train_loss,val_loss,perplexity,homology_indicator,lr
0,tensor(4.3151),tensor(4.3180),75.0402141479428,1.0000000822403707e-09,0.0
200,tensor(2.4301),tensor(2.4508),11.59769785611692,1.0000000822403707e-09,0.0003
400,tensor(0.0129),tensor(0.0147),1.0148182659051612,1.0000000822403707e-09,0.0002997226280212954
600,tensor(0.0109),tensor(0.0118),1.0118964563498531,1.0000000822403707e-09,0.0002988916518661382
800,tensor(0.0103),tensor(0.0109),1.0109298752931413,1.0000000822403707e-09,0.0002975104861937938
1000,tensor(0.0100),tensor(0.0106),1.0106466114410964,1.0000000822403707e-09,0.00029558480651026894
1200,tensor(0.0098),tensor(0.0104),1.010414600318477,1.0000000822403707e-09,0.0002931225258464402
1400,tensor(0.0099),tensor(0.0104),1.0105043542708978,1.0000000822403707e-09,0.0002901337622417129
1600,tensor(0.0097),tensor(0.0103),1.0103396450561886,1.0000000822403707e-09,0.00028663079716682654
1800,tensor(0.0097),tensor(0.0100),1.010060317814506,1.0000000822403707e-09,0.00028262802505665753
2000,tensor(0.0093),tensor(0.0100),1.0100613544575952,1.0000000822403707e-09,0.0002781418941603984
2200,tensor(0.0093),tensor(0.0096),1.00966464621892,1.0000000822403707e-09,0.0002731908389521741
2400,tensor(0.0091),tensor(0.0097),1.0097692033788517,1.0000000822403707e-09,0.00026779520437983313
2600,tensor(0.0091),tensor(0.0095),1.009509820665732,1.0000000822403707e-09,0.0002619771622631932
2800,tensor(0.0090),tensor(0.0098),1.0097990066959575,1.0000000822403707e-09,0.00025576062018527776
3000,tensor(0.0088),tensor(0.0093),1.009380707520517,1.0000000822403707e-09,0.000249171123250929
3200,tensor(0.0088),tensor(0.0090),1.0090866716863633,1.0000000822403707e-09,0.00024223574911649286
3400,tensor(0.0086),tensor(0.0088),1.0088856603787937,1.0000000822403707e-09,0.00023498299672192088
3600,tensor(0.0088),tensor(0.0095),1.0095094398931934,1.0000000822403707e-09,0.00022744266918251272
3800,tensor(0.0083),tensor(0.0087),1.0087284449997826,1.0000000822403707e-09,0.00021964575132152312
4000,tensor(0.0084),tensor(0.0087),1.008747093285869,1.0000000822403707e-09,0.0002116242823468765
4200,tensor(0.0085),tensor(0.0089),1.0089772105041794,1.0000000822403707e-09,0.00020341122419518934
4400,tensor(0.0085),tensor(0.0088),1.0088014636975695,1.0000000822403707e-09,0.0001950403260841024
4600,tensor(0.0083),tensor(0.0086),1.0086379131750798,1.0000000822403707e-09,0.00018654598582950617
4800,tensor(0.0082),tensor(0.0087),1.0087499370623592,1.0000000822403707e-09,0.000177963108497537
5000,tensor(0.0081),tensor(0.0087),1.008775643211496,1.0000000822403707e-09,0.00016932696297217346
5200,tensor(0.0079),tensor(0.0085),1.008548553247717,1.0000000822403707e-09,0.0001606730370278265
5400,tensor(0.0082),tensor(0.0085),1.008557930163831,1.0000000822403707e-09,0.00015203689150246295
5600,tensor(0.0079),tensor(0.0084),1.0083915866801443,1.0000000822403707e-09,0.00014345401417049382
5800,tensor(0.0079),tensor(0.0083),1.0083283396078428,1.0000000822403707e-09,0.00013495967391589754
6000,tensor(0.0079),tensor(0.0082),1.008250696732874,1.0000000822403707e-09,0.00012658877580481063
6200,tensor(0.0078),tensor(0.0083),1.0083656968602885,1.0000000822403707e-09,0.00011837571765312347
6400,tensor(0.0077),tensor(0.0082),1.0081914161697851,1.0000000822403707e-09,0.00011035424867847681
6600,tensor(0.0076),tensor(0.0080),1.008074677464477,1.0000000822403707e-09,0.00010255733081748726
6800,tensor(0.0077),tensor(0.0080),1.0080702057665958,1.0000000822403707e-09,9.50170032780791e-05
7000,tensor(0.0077),tensor(0.0080),1.0080738062188241,1.0000000822403707e-09,8.776425088350712e-05
7200,tensor(0.0075),tensor(0.0080),1.0080682144920203,1.0000000822403707e-09,8.082887674907097e-05
7400,tensor(0.0074),tensor(0.0078),1.0078295017549592,1.0000000822403707e-09,7.423937981472223e-05
7600,tensor(0.0073),tensor(0.0079),1.0079162451878594,1.0000000822403707e-09,6.802283773680678e-05
7800,tensor(0.0073),tensor(0.0077),1.0077336479748336,1.0000000822403707e-09,6.220479562016685e-05
8000,tensor(0.0072),tensor(0.0076),1.0076739290462509,1.0000000822403707e-09,5.6809161047825864e-05
8200,tensor(0.0072),tensor(0.0076),1.0076628073058436,1.0000000822403707e-09,5.185810583960152e-05
8400,tensor(0.0070),tensor(0.0076),1.007590156766025,1.0000000822403707e-09,4.7371974943342425e-05
8600,tensor(0.0070),tensor(0.0076),1.0076522365577611,1.0000000822403707e-09,4.336920283317343e-05
8800,tensor(0.0070),tensor(0.0076),1.0076612325726706,1.0000000822403707e-09,3.986623775828708e-05
9000,tensor(0.0070),tensor(0.0075),1.007527207679843,1.0000000822403707e-09,3.687747415355973e-05
9200,tensor(0.0069),tensor(0.0075),1.0075025772132105,1.0000000822403707e-09,3.441519348973102e-05
9400,tensor(0.0068),tensor(0.0074),1.0074545092131884,1.0000000822403707e-09,3.2489513806206166e-05
9600,tensor(0.0069),tensor(0.0075),1.0075120504344384,1.0000000822403707e-09,3.1108348133861787e-05
9800,tensor(0.0068),tensor(0.0074),1.0074102874026523,1.0000000822403707e-09,3.0277371978704595e-05
9999,tensor(0.0070),tensor(0.0073),1.007306064089208,1.0000000822403707e-09,3.000000693667526e-05
