test_type,d_model,num_layers,run,mle_time,our_time
width,64,2,0,4.200533699999141,0.013629999999466236
width,64,2,1,4.282248499999696,0.016240500001003966
width,64,2,2,4.224455200001103,0.013911500000176602
width,128,2,0,4.461423799999466,0.04606600000079197
width,128,2,1,4.332011099999363,0.04780620000019553
width,128,2,2,4.365370999999868,0.044452100000853534
width,256,2,0,4.173654500000339,0.14017899999998917
width,256,2,1,4.139628700000685,0.12667700000019977
width,256,2,2,4.1526612999987265,0.1450117999993381
width,512,2,0,4.073646099999678,0.15796700000100827
width,512,2,1,3.9764001999992615,0.1699083999992581
width,512,2,2,4.0098968999991484,0.17568949999986216
width,1024,2,0,4.085433899999771,0.27212129999861645
width,1024,2,1,4.078863200000342,0.2716000000000349
width,1024,2,2,4.064870000000155,0.27554830000008224
width,2048,2,0,4.6456827000001795,0.7460214999991877
width,2048,2,1,4.652985799999442,0.7419751999987056
width,2048,2,2,4.657604199999696,0.7418763000005129
depth,128,2,0,0.4076480999992782,0.022214099999473547
depth,128,2,1,0.40845850000005157,0.019830900000670226
depth,128,2,2,0.4063987999998062,0.02079570000023523
depth,128,4,0,0.6836705000005168,0.05283229999986361
depth,128,4,1,0.6951320999996824,0.04785780000020168
depth,128,4,2,0.6878665999993245,0.04806019999887212
depth,128,8,0,1.2208768000000418,0.08249889999933657
depth,128,8,1,1.2186271999999008,0.07252510000034817
depth,128,8,2,1.1999951999987388,0.07240539999838802
depth,128,16,0,2.2357167000009213,0.19667069999923115
depth,128,16,1,2.243031500000143,0.18085160000009637
depth,128,16,2,2.2267566000009538,0.17490379999981087
